antecedent,consequent,n_co,n_ant,n_con,support,confidence_A→B,confidence_B→A,lift,odds_ratio
C12,C15,45,130,551,0.00214,0.3462,0.0817,13.229,21.366
C01,C12,8,113,130,0.00038,0.0708,0.0615,11.467,13.004
C00,C05,7,84,167,0.00033,0.0833,0.0419,10.507,11.826
C13,C15,53,269,551,0.00252,0.197,0.0962,7.53,9.997
C01,C09,8,113,251,0.00038,0.0708,0.0319,5.939,6.491
C03,C05,11,234,167,0.00052,0.047,0.0659,5.927,6.535
C04,C13,5,67,269,0.00024,0.0746,0.0186,5.842,6.331
C04,C05,3,67,167,0.00014,0.0448,0.018,5.646,5.953
C09,C15,36,251,551,0.00171,0.1434,0.0653,5.481,6.597
C00,C03,5,84,234,0.00024,0.0595,0.0214,5.356,5.733
C15,C32,4,551,32,0.00019,0.0073,0.125,4.777,5.348
C03,C10,6,234,118,0.00028,0.0256,0.0508,4.576,4.866
C09,C12,7,251,130,0.00033,0.0279,0.0538,4.517,4.824
C01,C15,13,113,551,0.00062,0.115,0.0236,4.397,4.931
C00,C06,17,84,1024,0.00081,0.2024,0.0166,4.162,5.031
C04,C15,7,67,551,0.00033,0.1045,0.0127,3.993,4.385
C03,C06,44,234,1024,0.00209,0.188,0.043,3.867,4.689
C02,C03,37,966,234,0.00176,0.0383,0.1581,3.447,4.022
C01,C05,3,113,167,0.00014,0.0265,0.018,3.348,3.456
C09,C13,10,251,269,0.00047,0.0398,0.0372,3.119,3.292
C05,C06,25,167,1024,0.00119,0.1497,0.0244,3.078,3.505
C05,C09,6,167,251,0.00028,0.0359,0.0239,3.014,3.14
C02,C05,23,966,167,0.00109,0.0238,0.1377,3.002,3.379
C02,C04,9,966,67,0.00043,0.0093,0.1343,2.928,3.248
C10,C15,9,118,551,0.00043,0.0763,0.0163,2.915,3.107
C05,C13,6,167,269,0.00028,0.0359,0.0223,2.812,2.923
C05,C15,11,167,551,0.00052,0.0659,0.02,2.517,2.657
C01,C03,3,113,234,0.00014,0.0265,0.0128,2.389,2.445
C00,C02,8,84,966,0.00038,0.0952,0.0083,2.076,2.199
C02,C32,3,966,32,0.00014,0.0031,0.0938,2.044,2.155
C02,C12,12,966,130,0.00057,0.0124,0.0923,2.012,2.129
C54,C56,23,510,475,0.00109,0.0451,0.0484,1.999,2.1
C02,C06,80,966,1024,0.0038,0.0828,0.0781,1.703,1.831
C02,C10,9,966,118,0.00043,0.0093,0.0763,1.663,1.724
C02,C09,18,966,251,0.00085,0.0186,0.0717,1.563,1.618
