antecedent,consequent,n_co,n_ant,n_con,support,confidence_A→B,confidence_B→A,lift,odds_ratio
C00,C03,27,283,726,0.00066,0.0954,0.0372,5.389,6.039
C12,C15,116,477,2215,0.00283,0.2432,0.0524,4.502,5.883
C00,C05,14,283,468,0.00034,0.0495,0.0299,4.335,4.616
C03,C05,31,726,468,0.00076,0.0427,0.0662,3.741,4.067
C00,C06,64,283,2488,0.00156,0.2261,0.0257,3.727,4.617
C01,C12,13,305,477,0.00032,0.0426,0.0273,3.664,3.861
C01,C05,11,305,468,0.00027,0.0361,0.0235,3.16,3.295
C13,C15,152,920,2215,0.00371,0.1652,0.0686,3.059,3.648
C01,C09,14,305,624,0.00034,0.0459,0.0224,3.016,3.162
C04,C05,6,199,468,0.00015,0.0302,0.0128,2.642,2.715
C09,C12,19,624,477,0.00046,0.0304,0.0398,2.618,2.738
C05,C09,18,468,624,0.00044,0.0385,0.0288,2.528,2.636
C03,C06,109,726,2488,0.00266,0.1501,0.0438,2.475,2.815
C04,C13,11,199,920,0.00027,0.0553,0.012,2.464,2.568
C05,C06,63,468,2488,0.00154,0.1346,0.0253,2.219,2.445
C05,C13,23,468,920,0.00056,0.0491,0.025,2.191,2.284
C01,C15,36,305,2215,0.00088,0.118,0.0163,2.185,2.366
C15,C32,38,2215,324,0.00093,0.0172,0.1173,2.171,2.35
C02,C05,49,2010,468,0.00119,0.0244,0.1047,2.136,2.301
C02,C03,73,2010,726,0.00178,0.0363,0.1006,2.051,2.213
C02,C04,19,2010,199,0.00046,0.0095,0.0955,1.948,2.058
C10,C15,39,372,2215,0.00095,0.1048,0.0176,1.941,2.07
C09,C15,65,624,2215,0.00159,0.1042,0.0293,1.928,2.068
C04,C10,3,199,372,7e-05,0.0151,0.0081,1.662,1.677
C01,C32,4,305,324,0.0001,0.0131,0.0123,1.66,1.677
C05,C12,9,468,477,0.00022,0.0192,0.0189,1.653,1.679
C00,C02,22,283,2010,0.00054,0.0777,0.0109,1.586,1.642
C00,C10,4,283,372,0.0001,0.0141,0.0108,1.558,1.572
C03,C10,10,726,372,0.00024,0.0138,0.0269,1.518,1.54
