antecedent,consequent,n_co,n_ant,n_con,support,confidence_A→B,confidence_B→A,lift,odds_ratio,antecedent_label,consequent_label
C00,C03,28,303,796,0.00036,0.0924,0.0352,9.122,10.276,Lip,Gum
C12,C15,118,488,2344,0.0015,0.2418,0.0503,8.106,10.869,Pyriform sinus,Esophagus
C00,C05,14,303,511,0.00018,0.0462,0.0274,7.105,7.581,Lip,Palate
C00,C06,65,303,2603,0.00083,0.2145,0.025,6.476,8.15,Lip,Mouth NOS
C01,C12,13,333,488,0.00017,0.039,0.0266,6.286,6.651,Base of tongue,Pyriform sinus
C03,C05,31,796,511,0.00039,0.0389,0.0607,5.989,6.526,Gum,Palate
C01,C05,12,333,511,0.00015,0.036,0.0235,5.541,5.824,Base of tongue,Palate
C13,C15,156,950,2344,0.00199,0.1642,0.0666,5.505,6.774,Hypopharynx,Esophagus
C01,C09,14,333,722,0.00018,0.042,0.0194,4.576,4.806,Base of tongue,Tonsil
C03,C06,114,796,2603,0.00145,0.1432,0.0438,4.323,5.057,Gum,Mouth NOS
C04,C05,6,216,511,8e-05,0.0278,0.0117,4.271,4.405,Floor of mouth,Palate
C09,C12,19,722,488,0.00024,0.0263,0.0389,4.237,4.46,Tonsil,Pyriform sinus
C04,C13,11,216,950,0.00014,0.0509,0.0116,4.212,4.424,Floor of mouth,Hypopharynx
C05,C09,18,511,722,0.00023,0.0352,0.0249,3.834,4.012,Palate,Tonsil
C01,C15,37,333,2344,0.00047,0.1111,0.0158,3.725,4.115,Base of tongue,Esophagus
C05,C13,23,511,950,0.00029,0.045,0.0242,3.723,3.922,Palate,Hypopharynx
C05,C06,63,511,2603,0.0008,0.1233,0.0242,3.722,4.181,Palate,Mouth NOS
C15,C32,39,2344,354,0.0005,0.0166,0.1102,3.693,4.078,Esophagus,Larynx
C10,C15,40,394,2344,0.00051,0.1015,0.0171,3.403,3.721,Oropharynx,Esophagus
C02,C03,79,2320,796,0.00101,0.0341,0.0992,3.361,3.714,Tongue NOS,Gum
C00,C10,5,303,394,6e-05,0.0165,0.0127,3.291,3.359,Lip,Oropharynx
C02,C05,49,2320,511,0.00062,0.0211,0.0959,3.248,3.54,Tongue NOS,Palate
C02,C04,20,2320,216,0.00025,0.0086,0.0926,3.136,3.375,Tongue NOS,Floor of mouth
C09,C15,66,722,2344,0.00084,0.0914,0.0282,3.064,3.338,Tonsil,Esophagus
C05,C12,9,511,488,0.00011,0.0176,0.0184,2.836,2.904,Palate,Pyriform sinus
C04,C10,3,216,394,4e-05,0.0139,0.0076,2.77,2.809,Floor of mouth,Oropharynx
C01,C32,4,333,354,5e-05,0.012,0.0113,2.666,2.706,Base of tongue,Larynx
C04,C15,17,216,2344,0.00022,0.0787,0.0073,2.638,2.791,Floor of mouth,Esophagus
C00,C02,23,303,2320,0.00029,0.0759,0.0099,2.571,2.717,Lip,Tongue NOS
C03,C10,10,796,394,0.00013,0.0126,0.0254,2.505,2.564,Gum,Oropharynx
C10,C12,6,394,488,8e-05,0.0152,0.0123,2.452,2.493,Oropharynx,Pyriform sinus
C01,C03,8,333,796,0.0001,0.024,0.0101,2.372,2.42,Base of tongue,Gum
C10,C13,11,394,950,0.00014,0.0279,0.0116,2.309,2.363,Oropharynx,Hypopharynx
C05,C15,35,511,2344,0.00045,0.0685,0.0149,2.296,2.412,Palate,Esophagus
C03,C04,5,796,216,6e-05,0.0063,0.0231,2.285,2.324,Gum,Floor of mouth
C04,C12,3,216,488,4e-05,0.0139,0.0061,2.236,2.262,Floor of mouth,Pyriform sinus
C04,C09,4,216,722,5e-05,0.0185,0.0055,2.015,2.04,Floor of mouth,Tonsil
C54,C56,41,1581,1040,0.00052,0.0259,0.0394,1.959,2.025,Corpus uteri,Ovary
C02,C06,150,2320,2603,0.00191,0.0647,0.0576,1.952,2.08,Tongue NOS,Mouth NOS
C05,C10,5,511,394,6e-05,0.0098,0.0127,1.951,1.973,Palate,Oropharynx
C09,C13,16,722,950,0.0002,0.0222,0.0168,1.833,1.866,Tonsil,Hypopharynx
C02,C09,38,2320,722,0.00048,0.0164,0.0526,1.783,1.84,Tongue NOS,Tonsil
C01,C13,7,333,950,9e-05,0.021,0.0074,1.739,1.76,Base of tongue,Hypopharynx
C13,C32,7,950,354,9e-05,0.0074,0.0198,1.636,1.653,Hypopharynx,Larynx
C03,C09,11,796,722,0.00014,0.0138,0.0152,1.504,1.519,Gum,Tonsil
