site,recon_acc,prevalence
C00,0.9961372733994543,0.0038627265
C01,0.9957548252211825,0.0042451746
C02,0.9964304836694627,0.029575992
C03,0.989852375003187,0.010147625
C04,0.9972463731164427,0.0027536268
C05,0.9934856326967696,0.006514367
C06,0.9952958874072563,0.033183753
C07,0.9979475281099411,0.002052472
C08,0.9991968588256291,0.00080314116
C09,0.9907957471762576,0.009204253
C10,0.9949771805920298,0.0050228196
C11,0.9828535733408124,0.017146427
C12,0.993778842966778,0.006221157
C13,0.9878891410213916,0.012110859
C15,0.9701180490043599,0.02988195
C16,0.9989163968282297,0.032214884
C17,0.999388082914765,0.00061191706
C18,0.9950026771372479,0.100698605
C19,0.9894316820070881,0.010568318
C20,0.999388082914765,0.04766579
C21,0.9985976900130032,0.00140231
C22,0.9948496978659391,0.16107443
C30,0.9995410621860737,0.0004589378
C32,0.9954871114963922,0.0045128884
C34,0.9937915912393871,0.12989216
C38,0.9992096070982381,0.0007903929
C42,0.9989673899186661,0.033986896
C44,0.998954641646057,0.0010453584
C50,0.9963667423064175,0.16667092
C53,0.9994390760052013,0.06279799
C54,0.9995028173682466,0.020155018
C56,0.9867545447591851,0.013245455
C61,0.9986741796486576,0.04886413
C67,0.9955253563142195,0.0280462
C69,0.9995538104586829,0.00044618954
C71,0.9989291451008389,0.001070855
C77,0.9991586140078019,0.018242778
