,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
C00,0.026319939699039247,-0.0871423595583848,0.02471933171603556,-0.09465073880108495,-0.07228480736814108,-0.06484585873397569,0.036322202248596565,-0.0867398756730764,0.010817114287954854,0.0829135855850427,-0.05367089042681426,-0.004830823687313685
C01,0.045931022886429466,-0.07727502833460627,0.08491413287250281,0.006442779173409151,-0.05888710671068571,-0.009364598694122891,0.004359596541464175,-0.027189151455336277,-0.08964205572716999,0.03308983239427683,-0.04143936336495645,0.053290524936644636
C02,0.13196292882460123,-0.26115439963608705,0.23084720360712443,-0.25499001393894005,-0.18765000198965456,-0.17297468871147403,0.02521225374155945,-0.2844357947783121,0.07781349395317569,0.2502245896323335,-0.19150085919355891,0.11876542102286286
C03,0.05114624209923024,-0.1326423560785259,0.04179310060884381,-0.14240988310405314,-0.1198660886670835,-0.07923486670891666,0.0431433543167876,-0.13599991341805295,-0.04023595564672148,0.12665624178500745,-0.10079547401852935,0.056878013526795085
C04,0.04241942287592404,-0.0643592693272635,0.0779802368650957,-0.006140570458903916,-0.05519704008956091,-0.019827613014428546,0.006483341063146294,-0.06496103430750844,-0.06469931775156272,0.030667773873617847,-0.048908812382160376,0.05190060859172784
C05,0.06127602361504277,-0.10234769575886159,0.11847530555325621,-0.09576104208647465,-0.09233228593071555,-0.045429402784559696,0.023844733845299473,-0.10675053096719149,-0.036104030797422366,0.08750932975718691,-0.08404379564972078,0.07454195894748882
C06,0.05250034318035263,-0.2645095810198055,-0.02669172498832001,-0.2974471105528233,-0.2927557570659552,-0.2924014179385622,0.28820060473497044,-0.28591962243469315,0.026813015615399755,0.2775985741808372,-0.12105492711604532,-0.27117082427633726
C07,0.03895282775010177,-0.04673983353321422,0.0629810631315346,0.061488373176549066,-0.02054824959676802,0.048602547411347154,0.00507477944907137,-0.05446738948250845,-0.06590089158470412,-0.01955636176730512,-0.013039256557537767,-0.03210048740945272
C08,0.00930755286726647,-0.027480541322105277,0.0099813975150609,0.00046352416602337494,-0.022896083994813694,0.020143607713120508,0.006951244256294726,-0.0056491452090460794,-0.011756999838344285,0.0033597236057180766,-0.014178377568326161,0.017107840734382405
C09,0.05584281827939175,-0.10127212885296562,0.06914003346070122,-0.0008109280178097377,-0.09842220189607345,-0.02797470235259155,-0.0029240357635596987,-0.03533512177100056,-0.1314404719829153,0.05531423613300551,-0.07931509381278071,0.10307769166192275
C10,0.0389265007708885,-0.08525709027343224,0.05196880297108776,-0.008532526575650972,-0.07140511829425193,-0.023641939696072048,-0.0011116507291083905,-0.08040034032525695,-0.09600169359786932,0.04241128699763518,-0.061291681439013326,0.06896612080453836
C11,0.06770384623572447,-0.11369230507221968,0.20249891038111587,0.2010287314427158,-0.07051996861248432,0.15430027960947565,0.03752934645222585,-0.15274603451859367,-0.06722398078585483,-0.18162662704046972,-0.11023335539426424,-0.0844974026199362
C12,0.04000418343538106,-0.0836915044038926,0.10397476865111066,0.010733587046930901,-0.07695324181375919,-0.024373377504449,-0.07985347828162631,-0.04169038098689749,-0.12213126843063052,0.006069100522292058,-0.08126261320252924,0.09327960408319454
