primary,top1,top2,top3,top4,top5
C00,C15 (0.116),C22 (0.101),C18 (0.057),C34 (0.056),C50 (0.056)
C01,C15 (0.118),C22 (0.103),C34 (0.057),C18 (0.056),C50 (0.052)
C02,C15 (0.122),C22 (0.112),C34 (0.058),C18 (0.056),C50 (0.055)
C03,C15 (0.113),C22 (0.108),C34 (0.060),C50 (0.059),C18 (0.055)
C04,C15 (0.114),C22 (0.103),C34 (0.058),C50 (0.057),C18 (0.057)
C05,C15 (0.114),C22 (0.101),C50 (0.057),C18 (0.056),C34 (0.055)
C06,C15 (0.119),C22 (0.112),C18 (0.058),C34 (0.057),C50 (0.053)
C07,C15 (0.105),C22 (0.102),C50 (0.061),C34 (0.059),C18 (0.054)
C08,C15 (0.113),C22 (0.100),C34 (0.058),C18 (0.055),C50 (0.054)
C09,C15 (0.110),C22 (0.103),C50 (0.061),C34 (0.060),C18 (0.054)
C10,C15 (0.114),C22 (0.105),C34 (0.057),C50 (0.056),C18 (0.056)
C11,C15 (0.118),C22 (0.105),C34 (0.060),C18 (0.056),C50 (0.055)
C12,C15 (0.121),C22 (0.105),C34 (0.060),C18 (0.058),C50 (0.055)
C13,C15 (0.124),C22 (0.104),C34 (0.058),C18 (0.055),C50 (0.053)
C15,C22 (0.116),C34 (0.065),C50 (0.061),C18 (0.060),C61 (0.059)
C16,C22 (0.107),C15 (0.105),C34 (0.064),C18 (0.061),C50 (0.060)
C17,C15 (0.108),C22 (0.101),C18 (0.058),C50 (0.058),C34 (0.057)
C18,C22 (0.113),C15 (0.103),C50 (0.064),C34 (0.060),C61 (0.059)
C19,C15 (0.110),C22 (0.108),C34 (0.060),C18 (0.059),C50 (0.055)
C20,C15 (0.105),C22 (0.100),C18 (0.065),C34 (0.061),C50 (0.058)
C21,C22 (0.100),C15 (0.086),C50 (0.079),C34 (0.057),C18 (0.054)
C22,C15 (0.119),C34 (0.066),C18 (0.064),C50 (0.064),C61 (0.063)
C30,C22 (0.104),C15 (0.096),C34 (0.060),C50 (0.059),C18 (0.057)
C32,C15 (0.105),C22 (0.105),C34 (0.060),C50 (0.059),C18 (0.058)
C34,C22 (0.108),C15 (0.100),C50 (0.069),C18 (0.065),C61 (0.062)
C38,C15 (0.118),C22 (0.097),C50 (0.058),C18 (0.053),C34 (0.053)
C42,C15 (0.110),C22 (0.106),C50 (0.060),C34 (0.059),C18 (0.055)
C44,C15 (0.111),C22 (0.102),C34 (0.058),C50 (0.057),C18 (0.053)
C50,C22 (0.107),C15 (0.103),C18 (0.062),C34 (0.061),C06 (0.053)
C53,C22 (0.100),C50 (0.094),C15 (0.085),C34 (0.057),C18 (0.057)
C54,C22 (0.103),C50 (0.088),C15 (0.088),C34 (0.060),C18 (0.058)
C56,C15 (0.092),C22 (0.091),C50 (0.082),C18 (0.057),C67 (0.053)
C61,C22 (0.115),C15 (0.104),C34 (0.065),C50 (0.063),C18 (0.061)
C67,C22 (0.110),C15 (0.107),C61 (0.066),C18 (0.064),C50 (0.063)
C69,C22 (0.106),C15 (0.102),C34 (0.060),C50 (0.056),C18 (0.055)
C71,C22 (0.117),C15 (0.104),C34 (0.060),C50 (0.056),C18 (0.054)
C77,C15 (0.109),C22 (0.105),C50 (0.061),C34 (0.059),C18 (0.058)
