first_site,second_site,n_pairs,gap_p25,gap_median,gap_p75
C00,C02,6,333.5,789.5,2231.0
C00,C03,13,411.0,907.0,1505.0
C00,C05,5,1255.0,1789.0,2201.0
C00,C06,32,28.5,524.0,1368.0
C00,C09,3,805.0,1241.0,1518.0
C00,C10,2,1883.25,2363.5,2843.75
C00,C13,1,3000.0,3000.0,3000.0
C00,C15,1,11.0,11.0,11.0
C00,C18,2,96.25,152.5,208.75
C00,C22,3,501.5,730.0,1095.5
C00,C34,2,504.5,583.0,661.5
C00,C61,1,4515.0,4515.0,4515.0
C00,C67,1,428.0,428.0,428.0
C01,C02,3,65.0,130.0,1378.0
C01,C03,2,806.75,1337.5,1868.25
C01,C04,1,27.0,27.0,27.0
C01,C05,6,191.0,1126.0,2784.75
C01,C06,2,724.5,1234.0,1743.5
C01,C09,2,165.0,330.0,495.0
C01,C12,4,15.75,213.5,982.5
C01,C15,17,8.0,43.0,1282.0
C01,C16,2,566.75,567.5,568.25
C01,C18,1,41.0,41.0,41.0
C01,C22,2,241.25,468.5,695.75
C01,C34,4,21.25,114.5,268.75
C01,C50,1,0.0,0.0,0.0
C02,C00,6,301.5,578.5,2041.25
C02,C01,3,502.0,977.0,1044.0
C02,C03,40,356.5,1186.0,2092.0
C02,C04,12,225.75,1417.5,2710.75
C02,C05,16,69.0,942.5,1888.25
C02,C06,58,41.5,1011.5,1964.25
C02,C08,1,17.0,17.0,17.0
C02,C09,12,17.5,550.0,995.0
C02,C10,4,906.25,1799.5,3443.75
C02,C11,1,1807.0,1807.0,1807.0
C02,C12,7,11.0,1448.0,2233.5
C02,C13,7,438.5,1162.0,3217.5
C02,C15,31,8.5,146.0,835.0
C02,C16,1,46.0,46.0,46.0
C02,C18,6,68.5,111.5,2140.5
C02,C19,1,810.0,810.0,810.0
C02,C20,3,14.5,17.0,245.5
C02,C22,19,592.0,1741.0,3089.5
C02,C32,3,199.5,356.0,757.0
C02,C34,25,366.0,567.0,1093.0
C02,C42,1,1455.0,1455.0,1455.0
C02,C50,5,1130.0,1369.0,1482.0
C02,C54,1,889.0,889.0,889.0
C02,C61,1,3869.0,3869.0,3869.0
C02,C77,1,14.0,14.0,14.0
C03,C00,7,470.5,673.0,1011.0
C03,C01,2,144.25,197.5,250.75
