index_site,n_index,obs,exp,SIR,CI_lo,CI_hi,p,axis
C32,320,7,68.79,0.102,0.029,0.204,0.0,Other
C56,993,5,50.88,0.098,0.02,0.216,0.0,Hormonal
C67,2025,33,485.9,0.068,0.045,0.095,0.0,Other
C00,249,5,77.65,0.064,0.013,0.142,0.0,Other
C09,634,9,152.58,0.059,0.026,0.111,0.0,UADT
C15,1922,14,246.33,0.057,0.028,0.093,0.0,UADT
C53,4858,23,513.76,0.045,0.027,0.066,0.0,Hormonal
C19,795,7,178.98,0.039,0.011,0.078,0.0,GI
C06,2344,30,808.15,0.037,0.025,0.052,0.0,UADT
C18,7541,65,1832.89,0.035,0.027,0.045,0.0,GI
C02,2096,19,601.61,0.032,0.018,0.048,0.0,UADT
C61,3586,41,1314.42,0.031,0.022,0.042,0.0,Lung/prostate
C16,2375,10,351.56,0.028,0.011,0.051,0.0,GI
C34,9638,33,1187.18,0.028,0.019,0.039,0.0,Lung/prostate
C50,12871,47,1772.65,0.027,0.019,0.035,0.0,Hormonal
C20,3570,21,868.16,0.024,0.015,0.037,0.0,GI
C42,2556,7,308.19,0.023,0.006,0.045,0.0,Other
C11,1309,6,277.63,0.022,0.007,0.047,0.0,Other
