site,axis,n_c22_pts,rate_in_c22,rate_in_base,OR,OR_lo,OR_hi
C67,GI/systemic,12635,0.0055,0.0326,0.163,0.128,0.207
C10,UADT,12635,0.0009,0.0059,0.148,0.081,0.27
C21,Other,12635,0.0002,0.0016,0.145,0.046,0.457
C01,Other,12635,0.0006,0.005,0.127,0.063,0.256
C00,Other,12635,0.0006,0.0045,0.122,0.058,0.258
C32,UADT,12635,0.0006,0.0053,0.119,0.059,0.24
C15,UADT,12635,0.0043,0.035,0.118,0.09,0.155
C09,UADT,12635,0.0013,0.0108,0.116,0.071,0.191
C61,Hormonal,12635,0.0063,0.0574,0.103,0.083,0.129
C16,GI/systemic,12635,0.0032,0.038,0.082,0.06,0.112
C19,GI/systemic,12635,0.001,0.0125,0.082,0.047,0.141
C06,UADT,12635,0.0032,0.0392,0.08,0.059,0.109
C02,UADT,12635,0.0025,0.035,0.07,0.049,0.099
C11,UADT,12635,0.0014,0.0203,0.069,0.043,0.11
C18,GI/systemic,12635,0.0089,0.119,0.067,0.055,0.081
C05,UADT,12635,0.0005,0.0077,0.061,0.027,0.137
C03,UADT,12635,0.0007,0.012,0.059,0.03,0.113
C12,UADT,12635,0.0004,0.0074,0.053,0.022,0.128
C20,GI/systemic,12635,0.003,0.0566,0.05,0.037,0.069
C13,UADT,12635,0.0006,0.0144,0.043,0.022,0.087
C77,Other,12635,0.0009,0.0217,0.043,0.024,0.076
C34,UADT,12635,0.0077,0.1543,0.042,0.035,0.052
C56,Hormonal,12635,0.0006,0.0158,0.035,0.016,0.073
C42,Other,12635,0.0013,0.0405,0.03,0.018,0.049
C53,Hormonal,12635,0.0023,0.0749,0.028,0.02,0.041
C04,UADT,12635,0.0001,0.0033,0.024,0.003,0.171
C54,Hormonal,12635,0.0006,0.0241,0.022,0.011,0.047
C50,Hormonal,12635,0.0051,0.1988,0.021,0.016,0.027
C07,Other,12635,0.0,0.0025,0.0,,
