diag_yr,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C24,C25,C30,C31,C32,C33,C34,C37,C38,C40,C41,C42,C44,C48,C49,C50,C53,C54,C55,C56,C57,C61,C62,C64,C66,C67,C69,C71,C72,C73,C74,C75,C76,C77,C80
2003,0.0035070140280561123,0.00501002004008016,0.036072144288577156,0.0070140280561122245,0.00250501002004008,0.01002004008016032,0.045090180360721446,0.0,0.0,0.011022044088176353,0.000501002004008016,0.0,0.003006012024048096,0.013026052104208416,0.000501002004008016,0.0,0.0,0.0,0.09268537074148296,0.011523046092184368,0.039579158316633264,0.001002004008016032,0.25250501002004005,0.0,0.0,0.0,0.0,0.0,0.000501002004008016,0.11472945891783567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933867735470942,0.156813627254509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0032976092333058533,0.0053586150041220115,0.03338829348722176,0.009480626545754328,0.00247320692497939,0.006183017312448475,0.04657873042044518,0.0,0.0,0.011953833470733718,0.003709810387469085,0.0,0.00041220115416323167,0.020610057708161583,0.0,0.0,0.0,0.0,0.09233305853256389,0.009068425391591096,0.04740313272877164,0.0016488046166529267,0.2213520197856554,0.0,0.0,0.0,0.0,0.0,0.00041220115416323167,0.140560593569662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1912613355317395,0.15251442704039572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0039447731755424065,0.0035502958579881655,0.03195266272189349,0.00631163708086785,0.0015779092702169625,0.008284023668639054,0.05009861932938856,0.0,0.0,0.010650887573964497,0.003155818540433925,0.0,0.003155818540433925,0.011045364891518738,0.0003944773175542406,0.0,0.0,0.0,0.10256410256410256,0.007495069033530572,0.055226824457593686,0.0015779092702169625,0.24891518737672583,0.0,0.0,0.0,0.0,0.0,0.0003944773175542406,0.14003944773175542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1806706114398422,0.1289940828402367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.00484171322160149,0.0033519553072625698,0.03985102420856611,0.01154562383612663,0.0026070763500931097,0.00782122905027933,0.04022346368715084,0.0,0.0,0.011918063314711359,0.00707635009310987,0.0,0.0026070763500931097,0.01713221601489758,0.0007448789571694599,0.00037243947858472997,0.0,0.0,0.11173184357541899,0.0111731843575419,0.04953445065176909,0.00186219739292365,0.22644320297951584,0.0,0.0,0.0,0.0,0.0,0.00037243947858472997,0.139292364990689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19329608938547485,0.11620111731843576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.004526462395543176,0.005222841225626741,0.03516713091922006,0.008704735376044569,0.00383008356545961,0.006615598885793872,0.04596100278551532,0.0,0.0,0.014275766016713091,0.00766016713091922,0.00034818941504178273,0.005222841225626741,0.016364902506963788,0.0,0.0,0.0,0.0,0.10550139275766017,0.014275766016713091,0.05327298050139276,0.0006963788300835655,0.23850974930362118,0.0,0.0,0.0,0.0,0.0,0.0,0.1556406685236769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17096100278551532,0.10654596100278552,0.0,0.00034818941504178273,0.0,0.0,0.00034818941504178273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.003820960698689956,0.004093886462882096,0.034388646288209604,0.008733624454148471,0.003002183406113537,0.006004366812227074,0.04667030567685589,0.0,0.0,0.007914847161572052,0.006277292576419214,0.0,0.003002183406113537,0.012827510917030568,0.0,0.03711790393013101,0.04475982532751092,0.0,0.08269650655021835,0.015010917030567686,0.04284934497816594,0.0013646288209606986,0.18722707423580787,0.0,0.0,0.0,0.0,0.0,0.0005458515283842794,0.1381004366812227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14847161572052403,0.07805676855895197,0.0,0.0,0.0,0.0,0.05403930131004367,0.0,0.0,0.0,0.03275109170305677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002729257641921397,0.0
2009,0.0031517334533993696,0.0036019810895992796,0.029941467807294012,0.00810445745159838,0.0015758667266996848,0.0036019810895992796,0.031967582170193604,0.0011256190904997748,0.0009004952723998199,0.00585321927059883,0.006528590724898694,0.02363800090049527,0.00675371454299865,0.010805943268797838,0.0,0.028365601080594327,0.03984691580369203,0.0015758667266996848,0.07541647906348492,0.013057181449797388,0.03669518235029266,0.0013507429085997298,0.16479063484916703,0.0,0.0,0.0011256190904997748,0.0009004952723998199,0.0,0.00022512381809995497,0.11909049977487618,0.0,0.0015758667266996848,0.0,0.00045024763619990995,0.051778478162989645,0.0009004952723998199,0.00022512381809995497,0.0009004952723998199,0.13462404322377308,0.0610085547050878,0.01891040072039622,0.00022512381809995497,0.012381809995497524,0.0,0.045024763619991,0.00022512381809995497,0.0,0.0,0.026339486717694732,0.0006753714542998649,0.00045024763619990995,0.0,0.00022512381809995497,0.0,0.0,0.0,0.02408824853669518,0.0
2010,0.004287971112615662,0.0038366057323403293,0.026856240126382307,0.006093432633716994,0.003385240352064997,0.007898894154818325,0.026856240126382307,0.002031144211238998,0.0009027307605506658,0.007673211464680659,0.002482509591514331,0.026179192055969306,0.004287971112615662,0.013766644098397653,0.00022568269013766644,0.02911306702775897,0.04017151884450463,0.00022568269013766644,0.09004739336492891,0.011284134506883321,0.041525614985330625,0.0013540961408259986,0.15888061385691718,0.0,0.0,0.0009027307605506658,0.00022568269013766644,0.00022568269013766644,0.0,0.11148724892800722,0.0,0.0011284134506883321,0.00022568269013766644,0.0006770480704129993,0.039043105393816294,0.0006770480704129993,0.0004513653802753329,0.00022568269013766644,0.1439855563078312,0.05845181674565561,0.01963439404197698,0.0004513653802753329,0.016249153689911984,0.00022568269013766644,0.047619047619047616,0.00022568269013766644,0.0,0.0,0.029564432408034302,0.0004513653802753329,0.00022568269013766644,0.0,0.00022568269013766644,0.00022568269013766644,0.0,0.0,0.01782893252087565,0.0
2011,0.006012454369765944,0.002576766158471119,0.025767661584711186,0.008589220528237063,0.003435688211294825,0.006441915396177797,0.02984754133562379,0.002147305132059266,0.00042946102641185313,0.00751556796220743,0.001503113592441486,0.02254670388662229,0.00622718488297187,0.008159759501825209,0.0,0.028344427743182306,0.04015460596950827,0.0006441915396177797,0.09791711402190251,0.009233412067854841,0.035215804165771955,0.001073652566029633,0.1582563882327679,0.0,0.0,0.00021473051320592657,0.00042946102641185313,0.0,0.0,0.11981962636890703,0.0,0.0012883830792355595,0.00021473051320592657,0.0006441915396177797,0.04187245007515568,0.0017178441056474125,0.00021473051320592657,0.00021473051320592657,0.14730513205926563,0.05153532316942237,0.018466824135709683,0.00021473051320592657,0.01438694438479708,0.0,0.054756280867511276,0.0,0.0,0.0,0.025767661584711186,0.00021473051320592657,0.001503113592441486,0.0,0.0,0.00021473051320592657,0.0,0.0,0.016963710543268198,0.0
2012,0.002289758534554538,0.002497918401332223,0.025187343880099917,0.008950874271440467,0.0027060782681099086,0.005203996669442132,0.028517901748542882,0.002289758534554538,0.00041631973355537054,0.007285595337218984,0.0035387177352206494,0.022689425478767695,0.006869275603663613,0.00832639467110741,0.00020815986677768527,0.026644462947543714,0.033513738551207324,0.00020815986677768527,0.09429641965029142,0.010199833472106578,0.040383014154870944,0.0016652789342214821,0.14508742714404663,0.0,0.0006244796003330558,0.0006244796003330558,0.0006244796003330558,0.00020815986677768527,0.00020815986677768527,0.13780183180682765,0.00041631973355537054,0.0012489592006661116,0.0,0.00020815986677768527,0.03913405495420483,0.0020815986677768525,0.0006244796003330558,0.00041631973355537054,0.15195670274771025,0.05620316402997502,0.018526228143213988,0.00041631973355537054,0.013114071606994172,0.0,0.04558701082431307,0.0,0.0,0.0,0.02768526228143214,0.00041631973355537054,0.0014571190674437969,0.0,0.00020815986677768527,0.0,0.0,0.00020815986677768527,0.02102414654454621,0.0
2013,0.0032875652678398763,0.0032875652678398763,0.02320634306710501,0.006768516727905628,0.0011603171533552505,0.0032875652678398763,0.028040997872751886,0.0029007928833881262,0.0009669309611293754,0.006768516727905628,0.005994971959002127,0.02320634306710501,0.0050280409978727516,0.01024946818797138,0.00038677238445175013,0.029201315026107136,0.033262425062850515,0.0007735447689035003,0.09359891703732354,0.009475923419067878,0.049700251402049894,0.0007735447689035003,0.15026107135950492,0.00038677238445175013,0.0,0.0005801585766776252,0.00019338619222587506,0.010829626764649004,0.0005801585766776252,0.11738541868110616,0.0,0.0013537033455811255,0.00019338619222587506,0.00038677238445175013,0.037516921291819764,0.0011603171533552505,0.0,0.00038677238445175013,0.15567588474182945,0.04080448655965964,0.020692322568168633,0.00038677238445175013,0.01721137110810288,0.0,0.05492167859214852,0.0,0.00019338619222587506,0.0,0.026493908334944884,0.0005801585766776252,0.0013537033455811255,0.0,0.0,0.00019338619222587506,0.0,0.0,0.018758460645909882,0.00019338619222587506
2014,0.0021330230754314523,0.003296490207484972,0.025208454527826257,0.0075625363583478765,0.0021330230754314523,0.0042660461508629045,0.028504944735311226,0.001357378320729106,0.0007756447547023463,0.0075625363583478765,0.004459957339538492,0.020166763622261004,0.0034904013961605585,0.006980802792321117,0.0,0.0288927671126624,0.035485747527632346,0.0007756447547023463,0.10277292999806088,0.009113825867752568,0.0477021524141943,0.0011634671320535194,0.1357378320729106,0.0,0.0,0.00038782237735117316,0.0,0.00736862516967229,0.00019391118867558658,0.11188675586581345,0.0,0.00038782237735117316,0.00019391118867558658,0.00038782237735117316,0.03858832654644173,0.0009695559433779329,0.0,0.0007756447547023463,0.15706806282722513,0.0477021524141943,0.024820632150475083,0.0,0.016094628660073686,0.0,0.05410122164048865,0.0,0.0,0.0,0.03723094822571262,0.0007756447547023463,0.0011634671320535194,0.0,0.00019391118867558658,0.0,0.0,0.0,0.020166763622261004,0.0
2015,0.0026838432635534087,0.004473072105922347,0.02379674360350689,0.007693684022186438,0.001610305958132045,0.003757380568974772,0.022723206298085524,0.003578457684737878,0.0014313830738951511,0.008588298443370907,0.00411522633744856,0.019860440150295224,0.007156915369475756,0.009303989980318483,0.0,0.02809089282519234,0.0350688853104312,0.0003578457684737878,0.09876543209876543,0.00912506709608159,0.04741456432277688,0.0010735373054213634,0.134907854714618,0.0,0.0,0.0007156915369475756,0.0005367686527106817,0.005367686527106817,0.0,0.10824834496332081,0.0,0.0008946144211844695,0.0001789228842368939,0.0005367686527106817,0.040257648953301126,0.0014313830738951511,0.0001789228842368939,0.0003578457684737878,0.16943997137233852,0.044730721059223474,0.024154589371980676,0.0,0.017355519770978708,0.0,0.05403471103954196,0.0001789228842368939,0.0,0.0,0.030953658972982644,0.0001789228842368939,0.001610305958132045,0.0001789228842368939,0.0001789228842368939,0.0001789228842368939,0.0001789228842368939,0.0,0.022186437645374844,0.0001789228842368939
2016,0.0007243752263672582,0.003802969938428106,0.028069540021731256,0.007243752263672582,0.0016298442593263311,0.004346251358203549,0.025172039116262222,0.0023542194856935894,0.0005432814197754436,0.006338283230713509,0.004527345164795364,0.018109380659181457,0.004708438971387179,0.010141253169141615,0.0,0.027345164795364,0.032777978993118434,0.0005432814197754436,0.09869612459253893,0.01032234697573343,0.05233611010503441,0.0009054690329590728,0.1345526982977182,0.0,0.0,0.00018109380659181456,0.0,0.00796812749003984,0.00018109380659181456,0.11300253531329228,0.0,0.0007243752263672582,0.0,0.0005432814197754436,0.034407823252444764,0.0012676566461427019,0.0,0.00018109380659181456,0.16497645780514306,0.04310032596885187,0.027345164795364,0.0005432814197754436,0.01666063020644694,0.0,0.05197392249185078,0.0007243752263672582,0.0,0.0,0.033683448026077506,0.0007243752263672582,0.0009054690329590728,0.0003621876131836291,0.0003621876131836291,0.0,0.0,0.0,0.024990945309670408,0.0
2017,0.0021731862253426947,0.003009027081243731,0.02106318956870612,0.007021063189568706,0.0021731862253426947,0.0036776997659645604,0.02223336676696757,0.0025075225677031092,0.00033433634236041456,0.006352390504847877,0.004513540621865597,0.020896021397525912,0.006352390504847877,0.00802407221664995,0.00016716817118020728,0.031260448010698764,0.033099297893681046,0.0008358408559010365,0.09796054831160148,0.011200267469073889,0.04730859244399866,0.0013373453694416582,0.12688064192577733,0.0,0.00016716817118020728,0.0006686726847208291,0.00016716817118020728,0.006519558676028084,0.0,0.11334002006018054,0.0,0.00016716817118020728,0.00016716817118020728,0.00033433634236041456,0.04012036108324975,0.0008358408559010365,0.00016716817118020728,0.00033433634236041456,0.17736542962219992,0.04613841524573721,0.02774991641591441,0.00016716817118020728,0.015546639919759278,0.0,0.0549983283182882,0.0,0.0,0.00016716817118020728,0.029421598127716483,0.0,0.0013373453694416582,0.00016716817118020728,0.0,0.0,0.0,0.0,0.02340354396522902,0.00016716817118020728
2018,0.003806887004672089,0.002422564457518602,0.02249524139124416,0.009344177193286035,0.0006921612735767433,0.004845128915037204,0.023706523620003462,0.0025956047759127876,0.002249524139124416,0.007786814327738363,0.0025956047759127876,0.019726596296937186,0.005537290188613947,0.008652015919709292,0.0,0.02785949126146392,0.036511507181173214,0.0005191209551825575,0.09672953798234989,0.009517217511680222,0.04343311991694065,0.0013843225471534867,0.12112822287593009,0.0,0.0003460806367883717,0.0006921612735767433,0.0,0.006229451462190691,0.0,0.12268558574147777,0.0,0.001038241910365115,0.0,0.0008652015919709292,0.04239487800657553,0.002249524139124416,0.0003460806367883717,0.0003460806367883717,0.1673299878871777,0.0415296764146046,0.026821249351098805,0.0003460806367883717,0.01989963661533137,0.0,0.0562381034781104,0.00017304031839418584,0.0,0.0,0.03235853953971275,0.0008652015919709292,0.0017304031839418584,0.00017304031839418584,0.00017304031839418584,0.0,0.0,0.0,0.021456999480879046,0.00017304031839418584
2019,0.0022663877266387725,0.002615062761506276,0.019525801952580194,0.009414225941422594,0.002615062761506276,0.005055788005578801,0.024232914923291493,0.003312412831241283,0.0008716875871687587,0.007845188284518828,0.004707112970711297,0.017956764295676428,0.005230125523012552,0.010634588563458856,0.0,0.025627615062761507,0.03294979079497908,0.0012203626220362621,0.09884937238493724,0.00993723849372385,0.04811715481171548,0.0012203626220362621,0.11802649930264993,0.00017433751743375174,0.00017433751743375174,0.00017433751743375174,0.0003486750348675035,0.006450488145048815,0.00017433751743375174,0.12081589958158996,0.0,0.0010460251046025104,0.00017433751743375174,0.0003486750348675035,0.04201534170153417,0.0012203626220362621,0.00017433751743375174,0.0003486750348675035,0.16666666666666666,0.04218967921896792,0.02388423988842399,0.00017433751743375174,0.014818688981868899,0.0,0.06694560669456066,0.0,0.0,0.00017433751743375174,0.030509065550906555,0.0003486750348675035,0.0024407252440725243,0.00017433751743375174,0.00017433751743375174,0.0,0.0,0.0,0.025278940027894003,0.0003486750348675035
2020,0.0032875652678398763,0.0038677238445175015,0.02514020498936376,0.006768516727905628,0.004061110036743376,0.0036743376522916263,0.01933861922258751,0.002320634306710501,0.0013537033455811255,0.007542061496809128,0.0036743376522916263,0.018565074453684008,0.0050280409978727516,0.005221427190098627,0.0,0.03248888029394701,0.034809514600657517,0.0007735447689035003,0.09804679945851866,0.0042544962289692515,0.04312512086637014,0.0015470895378070005,0.11081028814542641,0.0,0.0,0.0005801585766776252,0.0,0.0073486753045832525,0.00019338619222587506,0.12570102494681878,0.0,0.0013537033455811255,0.0,0.0,0.045639141365306515,0.0009669309611293754,0.0,0.00019338619222587506,0.1744343453877393,0.039064010829626766,0.02823438406497776,0.00038677238445175013,0.015857667762521756,0.0,0.06033649197447302,0.00038677238445175013,0.00019338619222587506,0.0,0.034809514600657517,0.0011603171533552505,0.0011603171533552505,0.0,0.0,0.0,0.0,0.00019338619222587506,0.025720363566041383,0.00038677238445175013
