site,axis,n_first,rho,p_naive,phi_lag1,n_eff,p_corrected,direction,sig_naive,sig
C54,Hormonal,1471,0.925,0.0,0.502,6.0,0.0085,rising,True,True
C61,Hormonal,3586,0.895,0.0,0.469,6.5,0.0101,rising,True,True
C77,Other,1372,0.887,0.0,0.324,9.2,0.0012,rising,True,True
C07,Other,151,0.868,0.0,0.067,15.8,0.0,rising,True,True
C32,UADT,320,0.812,0.0,0.259,10.6,0.003,rising,True,True
C71,Other,82,0.805,0.0001,0.003,17.9,0.0001,rising,True,True
C56,Hormonal,993,0.784,0.0001,0.58,4.8,0.1323,rising,True,False
C67,HBV/GI,2027,0.777,0.0001,0.445,6.9,0.0419,rising,True,True
C08,Other,59,0.748,0.0004,-0.348,37.2,0.0,rising,True,True
C42,Other,2556,0.738,0.0005,0.443,7.0,0.0595,rising,True,False
C17,HBV/GI,44,0.733,0.0005,-0.317,34.7,0.0,rising,True,True
C44,Other,81,0.727,0.0006,0.24,11.0,0.0111,rising,True,True
C69,Other,33,0.679,0.0019,-0.455,48.0,0.0,rising,True,True
C38,Other,62,0.567,0.0142,0.386,8.0,0.1435,rising,True,False
C12,UADT,395,0.562,0.0153,-0.146,24.2,0.0042,rising,True,True
C30,Other,35,0.556,0.0165,0.119,14.2,0.0374,rising,True,True
C15,UADT,1923,0.521,0.0267,0.485,6.2,0.2739,rising,True,False
C11,Other,1309,0.424,0.0792,0.67,3.6,0.6319,rising,False,False
C16,HBV/GI,2377,0.354,0.1501,0.604,4.4,0.6045,rising,False,False
C18,HBV/GI,7548,0.193,0.4429,0.464,6.6,0.6925,rising,False,False
C20,HBV/GI,3572,0.038,0.8804,0.408,7.6,0.9314,rising,False,False
C10,UADT,336,0.009,0.9708,0.385,8.0,0.9826,rising,False,False
C04,UADT,183,-0.077,0.7602,0.135,13.7,0.7951,falling,False,False
C03,UADT,629,-0.078,0.7569,-0.303,33.7,0.6609,falling,False,False
C21,Other,99,-0.141,0.5758,-0.275,31.7,0.4429,falling,False,False
C50,Hormonal,12873,-0.238,0.3408,0.766,3.0,0.8468,falling,False,False
C19,HBV/GI,795,-0.29,0.2431,0.46,6.7,0.5442,falling,False,False
C34,UADT,9638,-0.414,0.0878,0.356,8.5,0.2854,falling,False,False
C01,Other,275,-0.494,0.037,0.158,13.1,0.0846,falling,True,False
C09,UADT,634,-0.556,0.0165,0.359,8.5,0.1351,falling,True,False
C00,Other,249,-0.572,0.0131,0.058,16.0,0.0205,falling,True,True
C05,UADT,406,-0.692,0.0014,-0.088,21.5,0.0004,falling,True,True
C13,UADT,814,-0.773,0.0002,-0.355,37.8,0.0,falling,True,True
C02,UADT,2097,-0.87,0.0,0.149,13.3,0.0001,falling,True,True
C06,UADT,2345,-0.909,0.0,0.289,9.9,0.0003,falling,True,True
C53,Hormonal,4859,-0.946,0.0,0.859,3.0,0.2095,falling,True,False
C22,HBV/GI,12204,-0.983,0.0,0.431,7.2,0.0001,falling,True,True
