diag_yr,axis,n,total,pct
2003,HBV/GI,1020,1996,51.10220440881763
2003,Hormonal,699,1996,35.02004008016032
2003,Other,21,1996,1.0521042084168337
2003,UADT,256,1996,12.825651302605209
2004,HBV/GI,1239,2426,51.0717230008244
2004,Hormonal,834,2426,34.37757625721352
2004,Other,26,2426,1.0717230008244023
2004,UADT,327,2426,13.478977741137676
2005,HBV/GI,1405,2535,55.42406311637082
2005,Hormonal,785,2535,30.96646942800789
2005,Other,25,2535,0.9861932938856016
2005,UADT,320,2535,12.6232741617357
2006,HBV/GI,1445,2685,53.81750465549349
2006,Hormonal,831,2685,30.949720670391063
2006,Other,30,2685,1.1173184357541899
2006,UADT,379,2685,14.115456238361265
2007,HBV/GI,1630,2872,56.75487465181058
2007,Hormonal,797,2872,27.75069637883008
2007,Other,32,2872,1.1142061281337048
2007,UADT,413,2872,14.380222841225626
2008,HBV/GI,2189,3664,59.743449781659386
2008,Hormonal,830,3664,22.652838427947597
2008,Other,37,3664,1.009825327510917
2008,UADT,608,3664,16.593886462882097
2009,HBV/GI,2318,4442,52.18370103556956
2009,Hormonal,1008,4442,22.692480864475463
2009,Other,523,4442,11.773975686627645
2009,UADT,593,4442,13.349842413327332
2010,HBV/GI,2352,4431,53.08056872037915
2010,Hormonal,1056,4431,23.832092078537574
2010,Other,454,4431,10.245994132250056
2010,UADT,569,4431,12.84134506883322
2011,HBV/GI,2523,4657,54.176508481855265
2011,Hormonal,1079,4657,23.169422374919478
2011,Other,469,4657,10.070861069357957
2011,UADT,586,4657,12.583208073867297
2012,HBV/GI,2572,4804,53.53871773522065
2012,Hormonal,1152,4804,23.98001665278934
2012,Other,488,4804,10.15820149875104
2012,UADT,592,4804,12.323064113238967
2013,HBV/GI,2771,5171,53.58731386578999
2013,Hormonal,1212,5171,23.43840649777606
2013,Other,569,5171,11.003674337652292
2013,UADT,619,5171,11.970605298781667
2014,HBV/GI,2758,5157,53.480705836726784
2014,Hormonal,1267,5157,24.56854760519682
2014,Other,518,5157,10.044599573395384
2014,UADT,614,5157,11.906146984681017
2015,HBV/GI,2900,5589,51.88763642869924
2015,Hormonal,1429,5589,25.56808015745214
2015,Other,607,5589,10.86061907317946
2015,UADT,653,5589,11.683664340669171
2016,HBV/GI,2915,5522,52.788844621513945
2016,Hormonal,1392,5522,25.208257877580586
2016,Other,555,5522,10.050706265845708
2016,UADT,660,5522,11.952191235059761
2017,HBV/GI,3082,5982,51.52123035773989
2017,Hormonal,1596,5982,26.68004012036108
2017,Other,630,5982,10.531594784353059
2017,UADT,674,5982,11.267134737545971
2018,HBV/GI,3002,5779,51.94670358193459
2018,Hormonal,1477,5779,25.558055026821247
2018,Other,644,5779,11.143796504585568
2018,UADT,656,5779,11.351444886658593
2019,HBV/GI,3026,5736,52.75453277545328
2019,Hormonal,1420,5736,24.75592747559275
2019,Other,631,5736,11.000697350069736
2019,UADT,659,5736,11.48884239888424
2020,HBV/GI,2651,5171,51.266679559079485
2020,Hormonal,1332,5171,25.75904080448656
2020,Other,604,5171,11.680526010442854
2020,UADT,584,5171,11.293753625991105
