diag_yr,cluster_name,n,total,pct
2003,Hormonal,265,1994,13.28986960882648
2003,Novel-1,510,1994,25.576730190571716
2003,Novel-2,304,1994,15.245737211634905
2003,Novel-4,686,1994,34.403209628886664
2003,UADT-field,229,1994,11.484453360080241
2004,Hormonal,337,2425,13.896907216494844
2004,Novel-1,547,2425,22.556701030927833
2004,Novel-2,376,2425,15.50515463917526
2004,Novel-4,823,2425,33.93814432989691
2004,UADT-field,342,2425,14.103092783505156
2005,Hormonal,412,2534,16.25887924230466
2005,Novel-1,635,2534,25.059194948697712
2005,Novel-2,366,2534,14.443567482241516
2005,Novel-4,767,2534,30.26835043409629
2005,UADT-field,354,2534,13.970007892659828
2006,Hormonal,433,2682,16.144668158090976
2006,Novel-1,613,2682,22.85607755406413
2006,Novel-2,445,2682,16.592095451155853
2006,Novel-4,818,2682,30.499627143922446
2006,UADT-field,373,2682,13.907531692766591
2007,Hormonal,453,2872,15.772980501392759
2007,Novel-1,689,2872,23.99025069637883
2007,Novel-2,492,2872,17.13091922005571
2007,Novel-4,793,2872,27.61142061281337
2007,UADT-field,445,2872,15.49442896935933
2008,Hormonal,468,3662,12.7799016930639
2008,Novel-1,706,3662,19.279082468596396
2008,Novel-2,851,3662,23.238667394866194
2008,Novel-4,823,3662,22.47405789186237
2008,UADT-field,814,3662,22.228290551611142
2009,Hormonal,503,4427,11.362096227693698
2009,Novel-1,746,4427,16.851140727354867
2009,Novel-2,1381,4427,31.19494014004969
2009,Novel-4,960,4427,21.685114072735487
2009,UADT-field,837,4427,18.906708832166252
2010,Hormonal,591,4416,13.383152173913043
2010,Novel-1,715,4416,16.191123188405797
2010,Novel-2,1317,4416,29.82336956521739
2010,Novel-4,962,4416,21.78442028985507
2010,UADT-field,831,4416,18.817934782608695
2011,Hormonal,638,4647,13.729287712502689
2011,Novel-1,741,4647,15.94577146546159
2011,Novel-2,1344,4647,28.921885087153004
2011,Novel-4,1000,4647,21.51925973746503
2011,UADT-field,924,4647,19.88379599741769
2012,Hormonal,661,4784,13.816889632107024
2012,Novel-1,707,4784,14.778428093645484
2012,Novel-2,1318,4784,27.55016722408027
2012,Novel-4,1085,4784,22.679765886287626
2012,UADT-field,1013,4784,21.1747491638796
2013,Hormonal,748,5154,14.512999611951882
2013,Novel-1,795,5154,15.424912689173457
2013,Novel-2,1482,5154,28.754365541327125
2013,Novel-4,1107,5154,21.47846332945285
2013,UADT-field,1022,5154,19.829258828094684
2014,Hormonal,781,5149,15.16799378520101
2014,Novel-1,704,5149,13.67255777820936
2014,Novel-2,1464,5149,28.432705379685373
2014,Novel-4,1148,5149,22.2955913769664
2014,UADT-field,1052,5149,20.43115167993785
2015,Hormonal,830,5573,14.893235241342184
2015,Novel-1,759,5573,13.619235600215324
2015,Novel-2,1598,5573,28.673963753813027
2015,Novel-4,1308,5573,23.4703032478019
2015,UADT-field,1078,5573,19.343262156827564
2016,Hormonal,845,5507,15.344107499546034
2016,Novel-1,756,5507,13.727982567641185
2016,Novel-2,1546,5507,28.07336117668422
2016,Novel-4,1279,5507,23.224986380969675
2016,UADT-field,1081,5507,19.629562375158887
2017,Hormonal,874,5969,14.642318646339419
2017,Novel-1,779,5969,13.050762271737309
2017,Novel-2,1667,5969,27.927626068018093
2017,Novel-4,1474,5969,24.694253643826436
2017,UADT-field,1175,5969,19.68503937007874
2018,Hormonal,815,5764,14.139486467730741
2018,Novel-1,707,5764,12.265787647467038
2018,Novel-2,1694,5764,29.389312977099237
2018,Novel-4,1330,5764,23.074253990284525
2018,UADT-field,1218,5764,21.13115891741846
2019,Hormonal,850,5721,14.857542387694458
2019,Novel-1,685,5721,11.973431218318476
2019,Novel-2,1600,5721,27.96713861213075
2019,Novel-4,1341,5721,23.43995804929208
2019,UADT-field,1245,5721,21.761929732564237
2020,Hormonal,727,5162,14.083688492832236
2020,Novel-1,576,5162,11.158465710964743
2020,Novel-2,1479,5162,28.651685393258425
2020,Novel-4,1238,5162,23.982952344052695
2020,UADT-field,1142,5162,22.1232080588919
