site,axis,n_m,n_f,median_m,median_f,age_diff_mf,p_mw,q_fdr,sig
C00,Other,232,17,56.0,69.0,-13.0,0.00101,0.0037033333333333,True
C01,Other,251,24,55.0,54.5,0.5,0.80261,0.8276915625,False
C02,UADT,1809,288,51.0,58.0,-7.0,0.0,0.0,True
C03,UADT,566,63,56.0,66.0,-10.0,1e-05,5.5e-05,True
C04,UADT,168,15,55.5,46.0,9.5,0.10719,0.225885,False
C05,UADT,363,43,54.0,58.0,-4.0,0.32825,0.416625,False
C06,UADT,2246,99,52.0,61.0,-9.0,0.0,0.0,True
C07,Other,86,65,58.0,52.0,6.0,0.0276,0.0650571428571428,False
C08,Other,31,28,61.0,51.0,10.0,0.0039,0.0117,True
C09,UADT,540,94,54.0,54.0,0.0,0.12321,0.225885,False
C10,UADT,316,20,54.5,57.0,-2.5,0.31566,0.416625,False
C11,UADT,972,337,49.0,50.0,-1.0,0.11931,0.225885,False
C12,UADT,385,10,56.0,52.0,4.0,0.23674,0.35511,False
C13,UADT,787,27,55.0,58.0,-3.0,0.27438,0.393675652173913,False
C15,UADT,1811,112,57.0,61.5,-4.5,0.0001,0.0004125,True
C16,HBV/GI,1432,945,66.0,63.0,3.0,8e-05,0.0003771428571428,True
C17,HBV/GI,26,18,58.0,64.0,-6.0,0.92387,0.92387,False
C18,HBV/GI,4014,3534,64.0,63.0,1.0,0.00486,0.0133649999999999,True
C19,HBV/GI,484,311,63.0,62.0,1.0,0.40475,0.4946944444444444,False
C20,HBV/GI,2198,1374,61.0,60.0,1.0,0.15851,0.2753068421052632,False
C21,Other,43,56,57.0,58.5,-1.5,0.16732,0.276078,False
C22,HBV/GI,8883,3321,61.0,68.0,-7.0,0.0,0.0,True
C30,Other,28,7,62.5,64.0,-1.5,0.43298,0.5102978571428571,False
C32,UADT,292,28,63.0,64.5,-1.5,0.29795,0.40968125,False
C34,UADT,5677,3961,66.0,63.0,3.0,0.0,0.0,True
C38,Other,37,25,33.0,29.0,4.0,0.47693,0.5427134482758621,False
C42,Other,1425,1131,58.0,59.0,-1.0,0.60529,0.665819,False
C44,Other,44,37,54.0,42.0,12.0,0.23395,0.35511,False
C50,Hormonal,40,12833,66.5,51.0,15.5,0.0,0.0,True
C67,HBV/GI,1359,668,67.0,69.5,-2.5,0.00291,0.0096029999999999,True
C69,Other,20,13,64.5,46.0,18.5,0.01354,0.0343707692307692,True
C71,Other,40,42,56.0,66.5,-10.5,0.119,0.225885,False
C77,Other,746,626,58.0,58.0,0.0,0.76007,0.8091067741935484,False
