site,axis,n_m,n_f,rate_m,rate_f,OR,OR_lo,OR_hi,p_fisher,q_fdr,sig
C12,UADT,477,11,0.0117,0.0003,40.18,22.097,73.059,2.646795056783234e-117,1.091802960923084e-116,True
C13,UADT,920,30,0.0225,0.0008,28.715,19.956,41.319,2.0469993013527555e-215,1.1258496157440156e-214,True
C06,UADT,2488,115,0.0608,0.0031,21.036,17.44,25.374,0.0,0.0,True
C15,UADT,2215,129,0.0541,0.0034,16.571,13.868,19.802,0.0,0.0,True
C10,UADT,372,22,0.0091,0.0006,15.622,10.16,24.022,3.184247050779309e-77,9.552741152337927e-77,True
C00,Other,283,20,0.0069,0.0005,13.045,8.287,20.535,4.986929764816972e-56,1.1754905874211434e-55,True
C04,UADT,199,17,0.0049,0.0005,10.771,6.562,17.677,1.6979918888115243e-37,3.1129851294877946e-37,True
C05,UADT,468,43,0.0114,0.0011,10.074,7.369,13.771,5.013873982104325e-84,1.6545784140944272e-83,True
C01,Other,305,28,0.0075,0.0007,10.046,6.82,14.797,2.9890438793813805e-55,6.575896534639037e-55,True
C32,Other,324,30,0.0079,0.0008,9.964,6.853,14.488,2.3795422637988953e-58,6.040376515797196e-58,True
C03,UADT,726,70,0.0177,0.0019,9.654,7.551,12.343,1.6483869116311385e-127,7.770966869118224e-127,True
C02,UADT,2010,310,0.0491,0.0083,6.195,5.492,6.987,3.031221551591132e-280,2.0006062240501472e-279,True
C09,UADT,624,98,0.0152,0.0026,5.908,4.772,7.313,1.1010124974952744e-85,4.03704582414934e-85,True
C30,Other,29,7,0.0007,0.0002,3.797,1.663,8.669,0.0006376053408149287,0.000956408011222393,True
C22,HBV/GI,9160,3475,0.2237,0.0927,2.822,2.707,2.943,0.0,0.0,True
C11,Other,1001,344,0.0245,0.0092,2.707,2.393,3.063,8.574146360774504e-64,2.3578902492129886e-63,True
C67,HBV/GI,1475,725,0.036,0.0193,1.896,1.733,2.075,2.0566515880193246e-46,3.9923236708610416e-46,True
C17,HBV/GI,30,18,0.0007,0.0005,1.527,0.851,2.74,0.19290849797826132,0.23577705308454158,False
C20,HBV/GI,2300,1439,0.0562,0.0384,1.492,1.395,1.596,7.840669385972122e-32,1.361800472300421e-31,True
C19,HBV/GI,508,321,0.0124,0.0086,1.455,1.265,1.675,1.2329188365959614e-07,1.937443886079368e-07,True
C16,HBV/GI,1531,996,0.0374,0.0266,1.424,1.313,1.544,6.6412805703050524e-18,1.0958112941003336e-17,True
C69,Other,21,14,0.0005,0.0004,1.374,0.699,2.703,0.3999750168233871,0.4551439846610957,False
C34,HBV/GI,5996,4193,0.1465,0.1118,1.363,1.307,1.422,2.319790208402317e-47,4.784567304829779e-47,True
C38,Other,37,25,0.0009,0.0007,1.356,0.816,2.253,0.25430979863722436,0.29972226267958585,False
C42,Other,1472,1194,0.036,0.0318,1.134,1.049,1.226,0.0014927162687145578,0.002141723342068713,True
C07,Other,89,72,0.0022,0.0019,1.133,0.83,1.546,0.4773872313715929,0.5251259545087522,False
C77,Other,778,652,0.019,0.0174,1.095,0.986,1.216,0.09239129866200113,0.11726587907100144,False
C08,Other,34,29,0.0008,0.0008,1.074,0.654,1.763,0.8020272527571819,0.8255336399157904,False
C44,Other,44,38,0.0011,0.001,1.061,0.687,1.638,0.8255336399157904,0.8255336399157904,False
C18,HBV/GI,4214,3685,0.1029,0.0983,1.053,1.005,1.103,0.030653464246214044,0.04214851333854431,True
C71,Other,42,42,0.001,0.0011,0.916,0.597,1.405,0.7433838610300817,0.7913441101287966,False
C21,Other,47,63,0.0011,0.0017,0.683,0.468,0.997,0.05566441071616747,0.07347702214534106,False
C50,Hormonal,40,13034,0.001,0.3476,0.002,0.001,0.003,0.0,0.0,True
C53,Hormonal,0,4926,0.0,0.1314,,,,,,False
C54,Hormonal,0,1581,0.0,0.0422,,,,,,False
C56,Hormonal,0,1039,0.0,0.0277,,,,,,False
C61,HBV/GI,3833,0,0.0936,0.0,,,,,,False
