site_a,label_a,site_b,label_b,n_a,n_b,n_co,support,conf_a_to_b,conf_b_to_a,lift,OR,pct_of_smaller,p_fisher,hypothesis,FDR
C12,Pyriform,C15,Esophagus,488,2344,118,0.01167,0.2418,0.0503,1.04,1.06,24.2,0.5827434288490558,primary,0.5827434288490558
C13,Hypopharynx,C15,Esophagus,950,2344,156,0.01543,0.1642,0.0666,0.71,0.63,16.4,9.110467669674729e-08,primary,1.401610410719189e-07
C03,Gum,C06,Oral NOS,796,2603,114,0.01127,0.1432,0.0438,0.56,0.46,14.3,6.294027811707524e-16,exploratory,1.3986728470461164e-15
C05,Palate,C06,Oral NOS,511,2603,63,0.00623,0.1233,0.0242,0.48,0.39,12.3,2.839527765511902e-14,exploratory,5.162777755476185e-14
C10,Oropharynx,C15,Esophagus,394,2344,40,0.00396,0.1015,0.0171,0.44,0.36,10.2,1.840439473795784e-11,exploratory,3.2007643022535377e-11
C02,Tongue,C03,Gum,2320,796,79,0.00781,0.0341,0.0992,0.43,0.35,9.9,8.599884339635763e-23,exploratory,2.1499710849089407e-22
C02,Tongue,C05,Palate,2320,511,49,0.00485,0.0211,0.0959,0.42,0.34,9.6,1.4042216910951975e-15,exploratory,2.9562561917793633e-15
C02,Tongue,C04,Floor of mouth,2320,216,20,0.00198,0.0086,0.0926,0.4,0.34,9.3,1.8057209004391232e-07,exploratory,2.675142074724627e-07
C09,Tonsil,C15,Esophagus,722,2344,66,0.00653,0.0914,0.0282,0.39,0.31,9.1,4.5200210223058254e-24,exploratory,1.390775699171023e-23
C04,Floor of mouth,C15,Esophagus,216,2344,17,0.00168,0.0787,0.0073,0.34,0.28,7.9,3.897446917392795e-09,exploratory,6.2359150678284725e-09
C05,Palate,C15,Esophagus,511,2344,35,0.00346,0.0685,0.0149,0.3,0.23,6.8,9.442579477730778e-24,exploratory,2.5180211940615407e-23
C02,Tongue,C06,Oral NOS,2320,2603,150,0.01483,0.0647,0.0576,0.25,0.15,6.5,3.625530280720589e-157,exploratory,4.834040374294119e-156
C03,Gum,C05,Palate,796,511,31,0.00307,0.0389,0.0607,0.77,0.75,6.1,0.12908609923535874,exploratory,0.13588010445827237
C02,Tongue,C09,Tonsil,2320,722,38,0.00376,0.0164,0.0526,0.23,0.17,5.3,1.1701437848748225e-40,exploratory,5.2006390438881e-40
C04,Floor of mouth,C13,Hypopharynx,216,950,11,0.00109,0.0509,0.0116,0.54,0.51,5.1,0.02489197275349278,exploratory,0.02691024081458679
C05,Palate,C13,Hypopharynx,511,950,23,0.00227,0.045,0.0242,0.48,0.44,4.5,3.27782709364277e-05,exploratory,4.370436124857027e-05
C02,Tongue,C10,Oropharynx,2320,394,17,0.00168,0.0073,0.0431,0.19,0.15,4.3,2.852403796432141e-25,exploratory,9.508012654773804e-25
C02,Tongue,C12,Pyriform,2320,488,21,0.00208,0.0091,0.043,0.19,0.14,4.3,3.732422347903079e-31,exploratory,1.357244490146574e-30
C04,Floor of mouth,C06,Oral NOS,216,2603,9,0.00089,0.0417,0.0035,0.16,0.12,4.2,2.356085086943911e-17,exploratory,5.543729616338614e-17
C06,Oral NOS,C10,Oropharynx,2603,394,16,0.00158,0.0061,0.0406,0.16,0.12,4.1,1.3935390859255772e-31,exploratory,5.574156343702309e-31
C09,Tonsil,C12,Pyriform,722,488,19,0.00188,0.0263,0.0389,0.55,0.51,3.9,0.002842698975371826,exploratory,0.0031585544170798065
