from,from_label,to,to_label,n_forward,n_reverse,n_total_metach,symmetry,frac_forward,n_synchronous,n_metachronous,pct_synchronous,dir_p,dir_FDR
C02,Tongue,C06,Oral NOS,68,52,120,0.765,0.57,30,120,20.0,0.17064521313035158,0.701541431758112
C06,Oral NOS,C03,Gum,51,43,94,0.843,0.54,20,94,17.5,0.4704921148903706,0.8289622976639863
C02,Tongue,C03,Gum,46,21,67,0.457,0.69,12,67,15.2,0.0030653176696087397,0.05670837688776168
C13,Hypopharynx,C15,Esophagus,33,29,62,0.879,0.53,94,62,60.3,0.7035366713552733,1.0
C06,Oral NOS,C05,Palate,30,23,53,0.767,0.57,10,53,15.9,0.4101027163746913,0.7843078613281249
C09,Tonsil,C15,Esophagus,34,10,44,0.294,0.77,22,44,33.3,0.00038813090293388086,0.014360843408553592
C02,Tongue,C15,Esophagus,27,14,41,0.519,0.66,28,41,40.6,0.05958388801809633,0.314943408095652
C02,Tongue,C05,Palate,21,17,38,0.81,0.55,11,38,22.4,0.6271025701571489,0.9281118038325804
C09,Tonsil,C02,Tongue,22,11,33,0.5,0.67,5,33,13.2,0.08014331245794892,0.37066282011801377
C12,Pyriform,C15,Esophagus,19,8,27,0.421,0.7,91,27,77.1,0.052238985896110535,0.314943408095652
C06,Oral NOS,C15,Esophagus,14,9,23,0.643,0.61,10,23,30.3,0.4048728942871094,0.7843078613281249
C05,Palate,C15,Esophagus,17,6,23,0.353,0.74,12,23,34.3,0.03468966484069824,0.314943408095652
C05,Palate,C03,Gum,16,6,22,0.375,0.73,9,22,29.0,0.052478790283203125,0.314943408095652
C13,Hypopharynx,C02,Tongue,10,9,19,0.9,0.53,4,19,17.4,1.0,1.0
C02,Tongue,C12,Pyriform,9,8,17,0.889,0.53,4,17,19.0,1.0,1.0
C10,Oropharynx,C02,Tongue,9,7,16,0.778,0.56,1,16,5.9,0.803619384765625,1.0
C12,Pyriform,C06,Oral NOS,10,5,15,0.5,0.67,2,15,11.8,0.30175781249999994,0.7843078613281249
C06,Oral NOS,C09,Tonsil,10,5,15,0.5,0.67,5,15,25.0,0.30175781249999994,0.7843078613281249
C03,Gum,C15,Esophagus,9,6,15,0.667,0.6,1,15,6.2,0.6072387695312499,0.9281118038325804
C13,Hypopharynx,C06,Oral NOS,10,5,15,0.5,0.67,3,15,16.7,0.30175781249999994,0.7843078613281249
C06,Oral NOS,C10,Oropharynx,13,2,15,0.154,0.87,1,15,6.2,0.00738525390625,0.09108479817708333
C10,Oropharynx,C15,Esophagus,7,7,14,1.0,0.5,26,14,65.0,1.0,1.0
C02,Tongue,C04,Floor of mouth,9,5,14,0.556,0.64,6,14,30.0,0.4239501953125,0.7843078613281249
C04,Floor of mouth,C15,Esophagus,7,6,13,0.857,0.54,4,13,23.5,1.0,1.0
C09,Tonsil,C13,Hypopharynx,8,5,13,0.625,0.62,3,13,18.8,0.5810546875,0.9281118038325804
C05,Palate,C13,Hypopharynx,9,4,13,0.444,0.69,10,13,43.5,0.266845703125,0.7843078613281249
C09,Tonsil,C12,Pyriform,8,4,12,0.5,0.67,7,12,36.8,0.3876953125,0.7843078613281249
C09,Tonsil,C05,Palate,6,5,11,0.833,0.55,7,11,38.9,1.0,1.0
C04,Floor of mouth,C13,Hypopharynx,7,3,10,0.429,0.7,1,10,9.1,0.34375,0.7843078613281249
C03,Gum,C10,Oropharynx,5,4,9,0.8,0.56,1,9,10.0,1.0,1.0
C09,Tonsil,C03,Gum,6,3,9,0.5,0.67,2,9,18.2,0.5078125,0.8540482954545454
C13,Hypopharynx,C03,Gum,4,3,7,0.75,0.57,2,7,22.2,1.0,1.0
C06,Oral NOS,C04,Floor of mouth,3,3,6,1.0,0.5,3,6,33.3,1.0,1.0
C12,Pyriform,C03,Gum,5,1,6,0.2,0.83,1,6,14.3,0.21875,0.7843078613281249
C05,Palate,C04,Floor of mouth,3,2,5,0.667,0.6,1,5,16.7,1.0,1.0
C05,Palate,C12,Pyriform,4,1,5,0.25,0.8,4,5,44.4,0.375,0.7843078613281249
C13,Hypopharynx,C10,Oropharynx,3,2,5,0.667,0.6,6,5,54.5,1.0,1.0
